"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.0705,2000,0,2000,0.1435,2000,0.003,2000
125,11,12,0.5,0.081,2000,0,2000,0.162,2000,0.0015,2000
200,11,12,0.5,0.1075,2000,0,2000,0.2025,2000,0.0035,2000
500,11,12,0.5,0.265,2000,0,2000,0.441,2000,0.0385,2000
1000,11,12,0.5,0.472,2000,5e-04,2000,0.6645,2000,0.4185,2000
75,23,12,0.5,0.385,2000,0,2000,0.704,2000,0.035,2000
125,23,12,0.5,0.6705,2000,0.0025,2000,0.874,2000,0.0455,2000
200,23,12,0.5,0.9645,2000,0.002,2000,0.979,2000,0.0815,2000
500,23,12,0.5,1,2000,0.0105,2000,1,2000,0.627,2000
1000,23,12,0.5,1,2000,0.024,2000,1,2000,0.9945,2000
75,11,24,0.5,0.07,2000,0,2000,0.1285,2000,0.0035,2000
125,11,24,0.5,0.0835,2000,0,2000,0.1665,2000,0.003,2000
200,11,24,0.5,0.116,2000,0,2000,0.2365,2000,0.007,2000
500,11,24,0.5,0.2345,2000,0,2000,0.4635,2000,0.0665,2000
1000,11,24,0.5,0.469,2000,0,2000,0.682,2000,0.382,2000
75,23,24,0.5,0.368,2000,0.0035,2000,0.7065,2000,0.0345,2000
125,23,24,0.5,0.7405,2000,0.0035,2000,0.8975,2000,0.0345,2000
200,23,24,0.5,0.952,2000,0.004,2000,0.9725,2000,0.091,2000
500,23,24,0.5,1,2000,0.0095,2000,1,2000,0.8585,2000
1000,23,24,0.5,1,2000,0.1035,2000,1,2000,0.999,2000
75,47,24,0.5,0.7645,2000,0.02,2000,0.961,2000,0.1025,2000
125,47,24,0.5,0.9985,2000,0.0125062531265633,1999,0.998,2000,0.08,2000
200,47,24,0.5,1,2000,0.022,2000,1,2000,0.158,2000
500,47,24,0.5,1,2000,0.031,2000,1,2000,0.5165,2000
1000,47,24,0.5,1,2000,0.062,2000,1,2000,0.9575,2000
75,11,12,0.9,0.0745,2000,0,1969,0.1815,2000,0.016243654822335,1970
125,11,12,0.9,0.092,2000,0,1999,0.253018108651911,1988,0.0248478701825558,1972
200,11,12,0.9,0.1345,2000,0,2000,0.3885,2000,0.039,2000
500,11,12,0.9,0.3125,2000,0,2000,0.712,2000,0.0075,2000
1000,11,12,0.9,0.626,2000,0,2000,0.92,2000,0.0475,2000
75,23,12,0.9,0.8275,2000,0.00551102204408818,1996,0.9975,2000,0.0630315157578789,1999
125,23,12,0.9,0.992,2000,0.00702458605117913,1993,1,2000,0.0611528822055138,1995
200,23,12,0.9,1,2000,0.0055,2000,1,2000,0.0585,2000
500,23,12,0.9,1,2000,0.004004004004004,1998,1,2000,0.078,2000
1000,23,12,0.9,1,2000,0.0145145145145145,1998,1,2000,0.541082164328657,1996
75,11,24,0.9,0.0695,2000,0,1988,0.1945,2000,0.0375751503006012,1996
125,11,24,0.9,0.0975,2000,0,2000,0.264379414732593,1982,0.0303183425972713,1979
200,11,24,0.9,0.1245,2000,0,2000,0.359,2000,0.0180090045022511,1999
500,11,24,0.9,0.26,2000,0,2000,0.6735,2000,0.0075,2000
1000,11,24,0.9,0.6315,2000,5e-04,2000,0.9355,2000,0.0865,2000
75,23,24,0.9,0.82,2000,0.00500250125062531,1999,0.998,2000,0.0505,2000
125,23,24,0.9,0.997,2000,0.00901352028042063,1997,1,2000,0.0495,2000
200,23,24,0.9,1,2000,0.003,2000,1,2000,0.0495247623811906,1999
500,23,24,0.9,1,2000,0.0085,2000,1,2000,0.1105,2000
1000,23,24,0.9,1,2000,0.0145,2000,1,2000,0.95447723861931,1999
75,47,24,0.9,1,2000,0.0210315473209815,1997,1,2000,0.0702106318956871,1994
125,47,24,0.9,1,2000,0.0136708860759494,1975,1,2000,0.0588235294117647,1972
200,47,24,0.9,1,2000,0.0108639420589757,1933,1,1999,0.0988786952089704,1962
500,47,24,0.9,1,2000,0.0602782071097372,1941,1,2000,0.511403953370502,1973
1000,47,24,0.9,1,1997,0.0350404312668464,1855,1,2000,0.859132297803964,1867
